,song_name,ir_type,motion_type,speech_xy,listener_azi,listener_x,listener_y,snr,locq,ssr,ms,smr,lri
0,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",0,-1,2,14.280811611084385,0.7016914494541,57.88235393934954,11.096075513306149,-7.869331,-0.13364117
1,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",5,-1,2,14.232911772535559,0.6885072829293688,57.91738005048245,11.148572607880912,-7.556453,-0.14995286
2,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",10,-1,2,14.178545269683813,0.6737043784256106,55.97261991664876,11.174765962233456,-7.216405,-0.16536616
3,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",15,-1,2,14.69788685500114,0.6960647270082089,56.51994085346704,11.172559247434599,-6.899711,-0.17884205
4,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",20,-1,2,15.428767028430148,0.725672126822412,57.97674292252729,11.016567295881035,-6.6900353,-0.18725586
5,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",25,-1,2,15.928475110664198,0.7462491835815722,58.180530201219725,10.892306116444503,-6.467636,-0.20135835
6,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",30,-1,2,16.102940137855338,0.7504660807962936,59.48967095448931,10.955402924643924,-6.133503,-0.20982136
7,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",35,-1,2,16.093120705087287,0.7385639120395543,60.53429566152603,11.093196635412706,-5.7546043,-0.21960148
8,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",40,-1,2,15.73447125033314,0.7126420622804819,58.875296498913215,11.367910983141844,-5.5747395,-0.22763246
9,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",45,-1,2,15.243479246713392,0.6833081817906442,58.57861580842153,11.654135862665306,-5.3378596,-0.23448034
10,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",50,-1,2,14.684253696030392,0.6609429149173688,56.447495341973294,11.95600830067427,-5.0833597,-0.23941585
11,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",55,-1,2,13.941028021781207,0.6391638738023997,53.108474048990075,12.261149229092487,-4.8255305,-0.2413209
12,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",60,-1,2,14.419529760574719,0.6549761703946814,52.05271320340053,12.55484783450844,-4.5485077,-0.24385493
13,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",65,-1,2,14.990277777384254,0.6820605861259896,53.92190400405552,12.738209173542812,-4.2990675,-0.24575192
14,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",70,-1,2,15.147285966281466,0.704428378534197,54.94170989387412,12.499528626559867,-4.0708623,-0.25984976
15,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",75,-1,2,14.987613084629071,0.7095336842044261,54.88195284394077,12.411792859694948,-4.045389,-0.2655572
16,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",80,-1,2,14.719341785296038,0.7071118772630732,51.27708734543297,12.296509324974007,-3.9928372,-0.27379334
17,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",85,-1,2,14.058601999207077,0.6861281763805069,51.66169202678512,12.346612581157654,-4.3292303,-0.27454367
18,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",90,-1,2,13.388867766044541,0.6664356083571875,51.97408415891807,12.331889651698178,-4.685565,-0.27274448
19,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",95,-1,2,12.7179461214342,0.651218224785785,52.34900039734044,12.276637869841743,-5.1224437,-0.26575565
20,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",100,-1,2,11.992440929646857,0.636057686196405,51.8435225264929,12.15781723683526,-5.5872803,-0.25363335
21,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",105,-1,2,12.280791957134245,0.6562775525228673,52.35566434598557,11.949262708060065,-6.1432433,-0.24435903
22,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",110,-1,2,12.780395532013216,0.6836531938387108,52.46801626371787,11.58064923402056,-6.6191783,-0.23212741
23,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",115,-1,2,13.24867528101317,0.6982129397356545,52.60185636291204,11.440611880768849,-7.7068143,-0.20718054
24,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",120,-1,2,13.216738597046678,0.697009737273981,51.13962481046112,11.275395603446592,-8.519049,-0.17586711
25,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",125,-1,2,13.085603932163796,0.6846586639239673,50.7210347332062,11.194689747715161,-9.324435,-0.14321095
26,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",130,-1,2,12.622611354110028,0.6608106936731393,50.02768357271272,11.51915021667325,-9.887608,-0.11267275
27,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",135,-1,2,12.288141887560954,0.637463996855189,50.52486011139863,11.771463256728575,-10.257883,-0.081364006
28,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",140,-1,2,11.924524974097775,0.6226939807628129,51.76693223893729,11.956233117598483,-10.325881,-0.050547414
29,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",145,-1,2,11.49325864205802,0.6114981597285464,53.164721726841016,12.035453745599217,-10.065607,-0.021513728
30,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",150,-1,2,12.09013357151117,0.6307337741123452,52.8442052749191,12.004253406233802,-9.7317095,0.0031750274
31,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",155,-1,2,12.795959236158769,0.6596998707393745,52.86094026072631,11.717045250999432,-9.179365,0.022802183
32,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",160,-1,2,13.12162549756978,0.6795481354442795,53.158461045449535,11.306132100645085,-8.804964,0.042955637
33,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",165,-1,2,13.361731816108463,0.6856930740555608,53.78218506663969,11.02289451395829,-8.386679,0.065027185
34,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",170,-1,2,13.533472250310009,0.6847405609313756,54.21871183134452,10.839549486765462,-8.0256,0.08642439
35,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",175,-1,2,13.305521622239517,0.6711910168529082,54.155257063741196,10.835102667064774,-7.952945,0.10281634
36,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",180,-1,2,13.02691798369094,0.6574098089955623,54.20919117864577,10.81851953657442,-7.7536826,0.11788028
37,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",185,-1,2,12.697037298442815,0.64545454345866,54.38670734238133,10.794226403730319,-7.471854,0.13125652
38,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",190,-1,2,12.202812311544559,0.6372645130986823,54.39617093913633,10.762041641952832,-7.128597,0.14249998
39,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",195,-1,2,12.926124203382656,0.6609741761700071,54.91656125530548,10.733880417861158,-6.8113627,0.14850663
40,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",200,-1,2,13.842631700708786,0.6900850569646408,55.096505423269875,10.571607309245678,-6.58122,0.15067074
41,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",205,-1,2,14.571978967772441,0.7116023333889767,54.890415090355475,10.518634126286761,-6.5525503,0.15533769
42,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",210,-1,2,15.08593829856126,0.7143638083269909,54.73506284703052,10.570221724776234,-6.4816723,0.15963233
43,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",215,-1,2,15.418091542472073,0.7104527442486751,55.1486058500629,10.652814410989604,-6.403213,0.16454603
44,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",220,-1,2,15.322902827761961,0.6922146032012954,60.287397284398125,10.842015129073278,-6.491457,0.16738842
45,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",225,-1,2,15.085292008744407,0.667913991815168,59.18272323602032,11.010397856815514,-6.521945,0.1695845
46,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",230,-1,2,14.696943320653986,0.6451066116039035,59.308818759306746,11.163649492479093,-6.5180945,0.17098892
47,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",235,-1,2,14.032726667521239,0.6242840630446095,56.121390823222164,11.293522577326014,-6.4849796,0.17121403
48,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",240,-1,2,14.67608016788207,0.6440626563056165,59.350120609960584,11.393025401082705,-6.3919516,0.17273091
49,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",245,-1,2,15.40096273111891,0.6721830034068477,59.776180913015125,11.335264358760876,-6.305676,0.17365311
50,Juliet's Rescue - Heartbeats,BRIR,rotational,"(2, 0)",250,-1,2,15.774848236398775,0.6929036054617643,55.84907264704513,11.302489786037457,-6.3501077,0.18540116
