,song_name,ir_type,motion_type,speech_xy,listener_azi,listener_x,listener_y,snr,locq,ssr,ms,smr,lri
0,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-2.5,2.5,15.020517776618533,0.7110778462243165,50.384976580548326,9.957090072180069,-3.8758912,-0.3233961
1,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-2.0,2.5,16.549368718159663,0.7480652298211732,51.32230901835442,10.800863092344999,-4.533298,-0.28270528
2,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-1.5,2.5,18.202413323601455,0.7622244837467991,59.95322064834827,11.98467540897908,-6.9611278,-0.18513878
3,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-1.0,2.5,19.08062410003571,0.7589607607164585,65.93395527097842,11.719452073801083,-6.626896,-0.1239565
4,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-0.5,2.5,18.6138668656918,0.7289163088388129,56.386202302830455,10.234870364420146,-7.004809,-0.13543333
5,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,0.0,2.5,18.579751845928254,0.7289246456490689,58.32091970813011,10.855065014509552,-3.955991,-0.12140774
6,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,0.5,2.5,18.548626297312953,0.760487586092296,50.77531766332275,10.195076820419692,-6.900584,-0.046502687
7,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,1.0,2.5,19.239718223933924,0.790188360144385,55.18343100390471,10.027998042614392,-2.5146673,0.12753762
8,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,1.5,2.5,18.363748302160438,0.7872133905490123,54.87875454505556,9.801018659888443,-6.3277817,0.20215787
9,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,2.0,2.5,17.985422363879586,0.7754634026143739,53.41844418866057,10.372296309841769,-3.6778684,0.31247956
10,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,2.5,2.5,16.47344406387942,0.746817633205899,54.52564950425531,9.91540175450886,-2.9310257,0.30896473
11,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-2.5,2.0,13.162482357319515,0.6868196238248966,49.546663829532555,9.686150516919204,-4.4574966,-0.29867804
12,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-2.0,2.0,14.571027014383805,0.7026168227660389,54.14371036963078,10.381247274386766,-6.345679,-0.23623602
13,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-1.5,2.0,16.53082267320968,0.7414592461191859,56.818584838698285,11.479774745695043,-8.180043,-0.16744837
14,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-1.0,2.0,16.397429341729666,0.70963235027814,57.094021192577095,11.096075513306149,-8.240788,-0.12341204
15,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-0.5,2.0,17.06935406576921,0.7216700726924115,54.715987206104806,10.90463197506063,-8.117804,-0.09563336
16,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,0.0,2.0,15.026900670281272,0.6785402270968072,49.81801134726254,9.899120785663639,-7.1617584,-0.06028401
17,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,0.5,2.0,16.737236069394356,0.7322603915494776,55.0557673561849,9.705598758463667,-8.388111,-0.023582162
18,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,1.0,2.0,15.598073024020898,0.7288111281544506,49.913732175911754,9.04291794242798,-5.8827543,0.10530342
19,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,1.5,2.0,16.88836263458515,0.7737906471007571,51.84529565910129,9.729701851175374,-7.116649,0.16389364
20,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,2.0,2.0,15.22795951148925,0.7191804149187018,52.55187006581415,9.216251782850046,-5.172364,0.28741336
21,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,2.5,2.0,14.38150282341266,0.7125413402806939,47.389658500830976,9.361549274278303,-3.869052,0.30983692
22,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-2.5,1.5,10.75709407802901,0.6245243768547664,47.261288508621995,9.402404371791631,-5.12902,-0.28066927
23,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-2.0,1.5,11.973586765164669,0.655059480147984,50.31116146644627,9.881283877649578,-6.511475,-0.23161186
24,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-1.5,1.5,13.071318474755067,0.6901342006752941,52.06529376985053,9.684941929846385,-7.788762,-0.18790354
25,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-1.0,1.5,13.141149114286904,0.6646209012073712,51.161298678146494,9.427057703592192,-7.8406763,-0.15313347
26,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,-0.5,1.5,12.64286994101477,0.655462278930953,50.33827781600958,9.576621665400166,-8.700835,-0.088645175
27,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,0.0,1.5,11.577334649379633,0.6407154118403552,51.69552429274014,8.413945997691737,-9.097204,-0.03666724
28,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,0.5,1.5,12.730870296437825,0.6697637543439955,56.1103416177443,8.183574411852522,-10.081563,0.0028335224
29,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,1.0,1.5,12.061953155941286,0.6706157660864045,47.57204373136795,8.761520688480564,-8.426322,0.095004134
30,Juliet's Rescue - Heartbeats,BRIR,translational,"(0, -2)",0,1.5,1.5,12.568789193289366,0.704470366084805,52.273164183435,8.419591797190165,-7.665402,0.14575495
