,song_name,ir_type,motion_type,speech_xy,listener_azi,listener_x,listener_y,snr,locq,ssr,ms,smr,lri
0,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",0,1,2,15.477489500154551,0.7699150067892079,58.892427961989036,8.230384847710752,-8.867387,0.047221374
1,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",5,1,2,15.58819615374519,0.7862031234814189,58.1645566329535,8.16242775646366,-8.536222,0.021609949
2,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",10,1,2,15.616338917353414,0.7947409968166129,58.056316200003636,8.180015885793583,-8.15354,-0.0006137471
3,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",15,1,2,15.462254284125127,0.8040505357266235,58.88763618751993,8.09262360673209,-7.508017,-0.03167347
4,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",20,1,2,15.108489968078167,0.8044684344452633,58.097402011785135,7.966296150461757,-7.059127,-0.056317046
5,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",25,1,2,14.40971759338085,0.7901595695088361,58.0061691856266,7.489354354436124,-6.666102,-0.08329442
6,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",30,1,2,13.217905966765741,0.7651935184034107,56.393604817687695,7.952327424521283,-6.157206,-0.103783734
7,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",35,1,2,13.152034875165388,0.7607085136820918,56.306227124373606,8.37683102206033,-5.721177,-0.13170339
8,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",40,1,2,13.21731312612689,0.7628023747364453,55.68709015014541,8.750099855987218,-5.2558694,-0.16073035
9,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",45,1,2,13.23583349461164,0.7650996486864321,55.00221152806929,9.086067310405252,-4.7888694,-0.18897748
10,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",50,1,2,13.277378868465924,0.7678084536365908,54.793374543005115,9.382700590396938,-4.3467503,-0.21449621
11,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",55,1,2,13.286298712481262,0.7700953896552094,54.922966916115556,9.774933366344273,-3.9730282,-0.23681399
12,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",60,1,2,13.271301083588739,0.7708759734074873,54.57132698794744,10.061128659451807,-3.480147,-0.2504369
13,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",65,1,2,13.145593808743431,0.767446961343261,54.313987755779436,10.172331722568872,-3.0928671,-0.26009685
14,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",70,1,2,12.727261732759263,0.756011767827049,54.174943618224106,9.794201152577678,-3.2009401,-0.2747461
15,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",75,1,2,11.909912585523358,0.7297284587312982,53.70636484820324,9.8959148138859,-3.2697716,-0.27910987
16,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",80,1,2,11.90482807311093,0.7252408611711206,54.27100725482762,9.794898238286168,-3.355181,-0.2812769
17,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",85,1,2,12.003706082093164,0.7221977541956516,55.25967029768779,9.601462438159418,-3.4346783,-0.28229442
18,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",90,1,2,12.19440786724331,0.7285047030117694,55.86877077391036,9.322378152727696,-3.4989061,-0.2818741
19,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",95,1,2,12.402225270957729,0.736352762336153,56.48234234650345,8.973440154745138,-3.5429978,-0.2798902
20,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",100,1,2,12.623226648948503,0.7483251716536294,58.5802023891806,8.57569727755201,-3.5476174,-0.27555355
21,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",105,1,2,12.758810136854926,0.751354627375499,60.14638744801755,8.230871815840523,-3.5256722,-0.27377298
22,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",110,1,2,12.902051412844514,0.7497084554798954,60.05250159113696,7.916524250641888,-3.4248097,-0.27135524
