,Unnamed: 0,song_name,speech_name,motion_type,ir_type,speech_xy,data_point,listener_x,listener_y,listener_azi,snr,locq,mushra_score1,mushra_score2,mushra_score3,mushra_score4,mushra_score5,mushra_score6,mushra_score7,mushra_score8,mushra_score9,mushra_score10,mushra_score11,mushra_score12
0,0,Al James - Schoolboy Facination,clnsp0,translational,BRIR,"(0, -2)",,,,,inf,1.0,92,100,100,100,0,100,100,100,100,100,100,100
1,1,Al James - Schoolboy Facination,clnsp0,translational,BRIR,"(0, -2)",,,,,0.0,0.33259761,0,0,0,0,0,0,18,16,0,0,0,0
2,2,Al James - Schoolboy Facination,clnsp0,translational,BRIR,"(0, -2)",L2,1.0,-0.5,0.0,-0.463699661,0.534325408,12,20,16,20,0,20,47,30,34,20,21,30
3,3,Al James - Schoolboy Facination,clnsp0,translational,BRIR,"(0, -2)",L1,0.0,0.5,0.0,4.567722977,0.5821141,21,40,26,40,0,20,56,51,60,40,40,40
4,4,Al James - Schoolboy Facination,clnsp0,translational,BRIR,"(0, -2)",L3,-1.0,1.5,0.0,12.94488838,0.754957854,41,60,38,60,0,60,75,70,72,59,60,50
5,5,Al James - Schoolboy Facination,clnsp0,translational,BRIR,"(0, -2)",L4,1.0,2.0,0.0,15.51219391,0.811118956,60,80,35,80,0,60,84,85,90,77,79,45
6,6,Matthew Entwistle - Dont You Ever,clnsp340,translational,BRIR,"(0, -2)",,,,,inf,1.0,100,100,100,100,100,100,100,100,100,100,100,100
7,7,Matthew Entwistle - Dont You Ever,clnsp340,translational,BRIR,"(0, -2)",,,,,0.0,0.206650299,7,0,0,0,9,0,17,10,0,0,0,0
8,8,Matthew Entwistle - Dont You Ever,clnsp340,translational,BRIR,"(0, -2)",L2,1.0,-0.5,0.0,-0.924010587,0.392635367,12,20,14,20,16,20,32,28,21,20,11,10
9,9,Matthew Entwistle - Dont You Ever,clnsp340,translational,BRIR,"(0, -2)",L1,0.0,0.5,0.0,4.702150338,0.436858035,21,20,16,20,25,20,42,54,36,40,29,20
10,10,Matthew Entwistle - Dont You Ever,clnsp340,translational,BRIR,"(0, -2)",L3,-1.0,1.5,0.0,12.23955822,0.609757662,52,60,28,60,36,80,59,69,53,60,70,50
11,11,Matthew Entwistle - Dont You Ever,clnsp340,translational,BRIR,"(0, -2)",L4,1.0,2.0,0.0,16.18060762,0.679481863,80,80,36,60,30,80,79,75,79,80,48,65
