,song_name,ir_type,motion_type,speech_xy,listener_azi,listener_x,listener_y,snr,locq
0,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-2.5,2.5,17.134810696764784,0.770289476957232
1,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-2.0,2.5,17.767805526331614,0.7922366492759652
2,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-1.5,2.5,18.34758231800784,0.8211527969379336
3,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-1.0,2.5,18.988887495301217,0.8331933606886409
4,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-0.5,2.5,19.346149208085993,0.8372747115469186
5,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,0.0,2.5,19.40746693455294,0.8411018654572928
6,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,0.5,2.5,19.127102107876578,0.8497928376638376
7,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,1.0,2.5,19.149847893959713,0.8543990443524032
8,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,1.5,2.5,17.977363103221368,0.8402600243926311
9,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,2.0,2.5,17.436656728643563,0.8116757104200417
10,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,2.5,2.5,16.671564307183292,0.7903029608094679
11,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-2.5,2.0,14.336496017926535,0.7399529211590964
12,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-2.0,2.0,15.797511899266162,0.7692647694272748
13,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-1.5,2.0,16.475722433535644,0.7931156907905886
14,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-1.0,2.0,16.923380703692686,0.8014568466949937
15,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-0.5,2.0,16.826329078195897,0.8057696072326187
16,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,0.0,2.0,16.81861760902257,0.810214161229274
17,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,0.5,2.0,16.63688896520996,0.8195840098661996
18,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,1.0,2.0,16.589559954579272,0.825609478752559
19,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,1.5,2.0,16.050446064681363,0.8244377713828743
20,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,2.0,2.0,15.292197369799162,0.8015451346062983
21,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,2.5,2.0,14.114833911166507,0.7621064211769482
22,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-2.5,1.5,11.77989136054375,0.7085257109358578
23,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-2.0,1.5,12.669200465796333,0.7297893282677456
24,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-1.5,1.5,12.81429001023692,0.7421739525736822
25,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-1.0,1.5,13.135568452507503,0.7460130866862832
26,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-0.5,1.5,13.032424045205172,0.7486570130665609
27,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,0.0,1.5,12.88435076727956,0.7561080520782922
28,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,0.5,1.5,12.804292015994218,0.7617591594461726
29,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,1.0,1.5,12.645487530424411,0.7661451616184738
30,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,1.5,1.5,12.392971420825056,0.7652302193648188
31,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,2.0,1.5,12.005414461796597,0.7579080793622361
32,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,2.5,1.5,11.482465027175632,0.7395266930100308
33,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-2.5,1.0,9.44226789621343,0.6810625785447859
34,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-2.0,1.0,9.733892065988996,0.6809570202730848
35,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-1.5,1.0,9.72027890022201,0.6885193876437217
36,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-1.0,1.0,9.802619940595811,0.6878967213298026
37,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,-0.5,1.0,9.672094762195325,0.6913953995885395
38,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,0.0,1.0,9.475887861008932,0.6962263220369797
39,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,0.5,1.0,9.335332694861386,0.7047091989854289
40,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,1.0,1.0,9.347920413713393,0.7147878691841115
41,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,1.5,1.0,9.28476341498812,0.7159226104944484
42,Al James - Schoolboy Facination,HRIR,translational,"(0, -2)",0,2.0,1.0,9.086672412591113,0.7114434988568809
