,song_name,ir_type,motion_type,speech_xy,listener_azi,listener_x,listener_y,snr,locq,ssr
0,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,-2.5,2.5,16.484419570097984,0.6775756213958407,55.88953617964943
1,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,-2.0,2.5,17.376177972547122,0.6982422344856597,56.536915948056546
2,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,-1.5,2.5,17.994562460543246,0.7302353039158525,55.86351232280319
3,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,-1.0,2.5,18.70782255019513,0.7412146960757272,52.32366788579428
4,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,-0.5,2.5,19.039967682555957,0.7457504320308634,58.666651253001596
5,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,0.0,2.5,18.99898198423396,0.7514829276314715,58.2090334788797
6,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,0.5,2.5,18.794455493177292,0.7697335531593554,50.87500880421959
7,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,1.0,2.5,18.71932556144279,0.7662401913916359,54.696608560810716
8,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,1.5,2.5,17.937696093887492,0.7515529932935525,55.20579891683563
9,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,2.0,2.5,17.28290886698058,0.7227935204169993,57.36184254344578
10,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,2.5,2.5,16.481162723990774,0.7076957604083375,52.1208696412709
11,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,-2.5,2.0,13.94651239289114,0.6449421519157139,53.84417949047361
12,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,-2.0,2.0,15.29593790034194,0.6765183216539102,55.315184460073006
13,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,-1.5,2.0,16.01622054654077,0.6989954750935944,59.39516286313551
14,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,-1.0,2.0,16.54455054411756,0.703146191596317,57.76724211167158
15,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,-0.5,2.0,16.63655405087488,0.7129698450071936,54.534312031757075
16,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,0.0,2.0,16.500778412612117,0.7167902490837944,53.52645317370538
17,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,0.5,2.0,16.288171103370278,0.7264480632355003,53.20988390440896
18,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,1.0,2.0,16.22402379784863,0.731551814140019,50.486050726210365
19,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,1.5,2.0,15.879950282148602,0.7323668520565865,52.414506148935004
20,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,2.0,2.0,15.124367734991903,0.7033479261841019,52.410898630925615
21,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,2.5,2.0,13.828763374867748,0.672318105818129,49.60964427610821
22,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,-2.5,1.5,11.389073161955565,0.6075854042476273,51.57490197813828
23,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,-2.0,1.5,12.012505105553217,0.6295752843581753,54.71445228914416
24,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,-1.5,1.5,12.4523708882421,0.6423817247345525,51.989225693344146
25,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,-1.0,1.5,12.808956647437292,0.6496307302459831,48.234698005403864
26,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,-0.5,1.5,12.844722600621171,0.6571294171825509,47.83712095678261
27,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,0.0,1.5,12.62011256141886,0.6579069819219611,48.931928430922
28,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,0.5,1.5,12.536678230980215,0.6624326772597373,45.959670003277466
29,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,1.0,1.5,12.334804887588252,0.6716991171140083,47.914295924222145
30,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,1.5,1.5,12.179780134244822,0.6683123164957779,50.452521881083314
31,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,2.0,1.5,11.791579794310508,0.6590195510922044,48.809421419615944
32,Juliet's Rescue - Heartbeats,HRIR,translational,"(0, -2)",0,2.5,1.5,11.281721621820576,0.6364810914094099,45.2089527169082
