,song_name,ir_type,motion_type,speech_xy,listener_azi,listener_x,listener_y,snr,locq
0,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",0,1,2,15.221607624059121,0.690639101591518
1,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",5,1,2,15.087240220247029,0.6924709756850828
2,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",10,1,2,15.013072606550242,0.6949028500032322
3,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",15,1,2,14.864603311036163,0.6947154127362751
4,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",20,1,2,14.705078498420686,0.6956606089704959
5,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",25,1,2,14.57567558470178,0.6940726985029998
6,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",30,1,2,14.365041462453426,0.6892643571172398
7,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",35,1,2,14.185325210969417,0.6861847518049329
8,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",40,1,2,14.10363333027183,0.6812739489924633
9,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",45,1,2,14.04376594877835,0.6828367711590737
10,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",50,1,2,13.985700038707712,0.6826285276320927
11,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",55,1,2,13.941470099026365,0.6779310280396559
12,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",60,1,2,13.913701403217676,0.670025396823835
13,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",65,1,2,13.99109223182656,0.6572152844835643
14,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",70,1,2,13.955623628083227,0.6439215469938981
15,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",75,1,2,13.932418254112001,0.633267994030304
16,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",80,1,2,13.948010478346443,0.6206354342993305
17,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",85,1,2,13.985303256183482,0.6200386634728189
18,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",90,1,2,14.041213225597073,0.6214332894632227
19,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",95,1,2,14.160523412922835,0.6220837963297464
20,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",100,1,2,14.238597421770528,0.62335091462843
21,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",105,1,2,14.306253378943055,0.6237130686467923
22,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",110,1,2,14.401925448319652,0.6266202665901984
23,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",115,1,2,14.499464708249743,0.6279177520091859
24,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",120,1,2,14.640516142980008,0.6279310395174662
25,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",125,1,2,14.723121348139262,0.6310782340646165
26,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",130,1,2,14.80896331835045,0.6327182643862841
27,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",135,1,2,14.884984788242168,0.6314621706524415
28,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",140,1,2,14.985041207093754,0.6368210676517463
29,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",145,1,2,15.11918468791001,0.6421255013852363
30,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",150,1,2,15.200713309467439,0.6501286061150537
31,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",155,1,2,15.286692108803305,0.6520969207706285
32,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",160,1,2,15.302337558370002,0.6540950717333638
33,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",165,1,2,15.263692205218256,0.6558025176173198
34,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",170,1,2,15.435900480400406,0.6613000256409799
35,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",175,1,2,15.296093866433285,0.6626797700668338
36,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",180,1,2,15.102001381883998,0.6596744964126409
37,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",185,1,2,14.905886088598162,0.6569720373519451
38,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",190,1,2,14.70360346353613,0.6586627987049993
39,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",195,1,2,14.554787584695763,0.6570278522970954
40,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",200,1,2,14.302590311041751,0.6569234690676373
41,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",205,1,2,14.167376348455495,0.6553917520292466
42,Matthew Entwistle - Dont You Ever,HRIR,rotational,"(0, -2)",210,1,2,14.07775283001499,0.6556799485114324
