,song_name,ir_type,motion_type,speech_xy,listener_azi,listener_x,listener_y,snr,locq,ssr
0,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-2.5,2.5,17.097889953917765,0.662764682033498,57.55886326078267
1,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-2.0,2.5,17.777559779069957,0.6881958216292466,55.57695623441897
2,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-1.5,2.5,18.294726579014547,0.7215878495110976,56.75001409080377
3,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-1.0,2.5,19.088260008494142,0.7253031770221977,56.03486036333845
4,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-0.5,2.5,19.207990928666437,0.7324925946493536,53.004852634857535
5,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,0.0,2.5,19.220249832981587,0.7263125347529872,57.74187169465631
6,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,0.5,2.5,19.11964038401437,0.7373699202614372,56.31463589898448
7,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,1.0,2.5,18.829186410138014,0.7298630969443142,57.66074385988496
8,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,1.5,2.5,18.0525880080418,0.7222644216491704,54.23306899802641
9,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,2.0,2.5,17.66862351563284,0.6949038091927697,51.720396849365294
10,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,2.5,2.5,16.976511015943192,0.6755318843899334,48.946673323021166
11,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-2.5,2.0,14.516924551488351,0.6355042586833448,50.54823638735792
12,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-2.0,2.0,15.77638743998138,0.6689316596791754,50.44510232939941
13,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-1.5,2.0,16.469482437108606,0.6933607925753793,48.14465548617921
14,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-1.0,2.0,16.976105942204057,0.6942168811862892,53.60693942874925
15,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-0.5,2.0,16.898615856303614,0.6893366859290084,52.48346381400994
16,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,0.0,2.0,16.894609570173042,0.6917037341029393,53.09017782304049
17,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,0.5,2.0,16.55851675680397,0.6998569109582621,53.02514766300402
18,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,1.0,2.0,16.334389668792706,0.7027295087189723,53.0389249635829
19,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,1.5,2.0,16.21978903269514,0.6983189735680106,55.527621118988165
20,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,2.0,2.0,15.516374900559388,0.6728290152752706,50.27434495465517
21,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,2.5,2.0,14.354750957864518,0.6416712133189559,47.713489505893996
22,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-2.5,1.5,11.958861907883495,0.6047828329258329,50.73190957653523
23,Skelpolu - Together Alone,HRIR,translational,"(0, -2)",0,-2.0,1.5,12.686054753544354,0.622526632204645,50.07187651239458
