,Unnamed: 0,song_name,speech_name,motion_type,ir_type,speech_xy,data_point,listener_x,listener_y,listener_azi,snr,locq,mushra_score1,mushra_score2,mushra_score3,mushra_score4,mushra_score5,mushra_score6,mushra_score7,mushra_score8,mushra_score9,mushra_score10,mushra_score11,mushra_score12,mushra_score13
0,0,Al James - Schoolboy Facination,clnsp0,translational,HRIR,"(0, -2)",,,,,inf,1.0,92,100,100,100,100,100,60,100,100,100,100,100,100
1,1,Al James - Schoolboy Facination,clnsp0,translational,HRIR,"(0, -2)",,,,,0.0,0.3325976015754089,5,10,0,0,0,0,0,0,31,0,10,0,24
2,2,Al James - Schoolboy Facination,clnsp0,translational,HRIR,"(0, -2)",L1,0.0,0.5,0.0,6.182235993344278,0.6287418867443807,32,32,59,40,40,40,5,40,75,50,50,32,60
3,3,Al James - Schoolboy Facination,clnsp0,translational,HRIR,"(0, -2)",L2,1.0,-0.5,0.0,-0.2504971657169292,0.5294082163966675,13,20,20,20,20,20,0,20,38,36,30,13,41
4,4,Al James - Schoolboy Facination,clnsp0,translational,HRIR,"(0, -2)",L3,-1.0,1.5,0.0,13.135568653488864,0.7460130911145187,84,38,80,60,60,60,40,60,89,40,70,38,70
5,5,Al James - Schoolboy Facination,clnsp0,translational,HRIR,"(0, -2)",L4,1.0,2.0,0.0,16.589560389267618,0.8256094795488141,57,50,81,80,80,55,60,80,80,80,80,55,82
6,6,Matthew Entwistle - Dont You Ever,clnsp340,translational,HRIR,"(0, -2)",,,,,inf,1.0,92,97,100,100,90,100,100,100,100,100,100,100,100
7,7,Matthew Entwistle - Dont You Ever,clnsp340,translational,HRIR,"(0, -2)",,,,,0.0,0.2066503181609031,5,8,0,0,0,0,0,0,23,0,9,0,21
8,8,Matthew Entwistle - Dont You Ever,clnsp340,translational,HRIR,"(0, -2)",L1,0.0,0.5,0.0,5.21584228038941,0.4790671600657473,39,26,12,60,30,30,60,40,45,48,29,12,53
9,9,Matthew Entwistle - Dont You Ever,clnsp340,translational,HRIR,"(0, -2)",L2,1.0,-0.5,0.0,-1.451065147264508,0.3796788308603988,17,10,0,20,15,20,0,20,31,22,14,12,41
10,10,Matthew Entwistle - Dont You Ever,clnsp340,translational,HRIR,"(0, -2)",L3,-1.0,1.5,0.0,12.094937075673116,0.5940483766580934,52,60,20,80,50,65,80,60,52,68,49,26,65
11,11,Matthew Entwistle - Dont You Ever,clnsp340,translational,HRIR,"(0, -2)",L4,1.0,2.0,0.0,15.414208806689428,0.676398628915014,75,81,32,80,60,60,80,80,62,82,82,27,79
